sampleID	region	sample	site_name	site_code	region_code	sampleType	filter	primer	runSize
EB838	Misool	MIS_05	Warakareket East	WKES	MI_WKES	sediment	0.4um	cox1	2x250
EB839	Misool	MIS_06	Boo East	BOOE	MI_BOOE	water	0.4um	cox1	2x250
EB840	Misool	MIS_06	Boo East	BOOE	MI_BOOE	sediment	0.4um	cox1	2x250
EB841	Misool	MIS_07	Yilliet	YILL	MI_YILL	water	0.4um	cox1	2x250
EB842	Misool	MIS_07	Yilliet	YILL	MI_YILL	sediment	0.4um	cox1	2x250
EB843	Misool	MIS_08	Femin East	FEME	MI_FEME	water	0.4um	cox1	2x250
EB844	Misool	MIS_08	Femin East	FEME	MI_FEME	sediment	0.4um	cox1	2x250
EB845	Misool	MIS_09	Pele Goa West	PGOW	MI_PGOW	water	0.4um	cox1	2x250
EB846	Misool	MIS_09	Pele Goa West	PGOW	MI_PGOW	sediment	0.4um	cox1	2x250
EB847	Misool	MIS_10	Pele North	PELN	MI_PELN	water	0.4um	cox1	2x250
EB848	Misool	MIS_10	Pele North	PELN	MI_PELN	sediment	0.4um	cox1	2x250
EB849	Misool	MIS_11	Netted Corner	NECO	MI_NECO	water	0.4um	cox1	2x250
EB850	Misool	MIS_11	Netted Corner	NECO	MI_NECO	sediment	0.4um	cox1	2x250
EB851	Misool	MIS_12	Waaf South	WAFS	MI_WAFS	water	0.4um	cox1	2x250
EB852	Misool	MIS_12	Waaf South	WAFS	MI_WAFS	sediment	0.4um	cox1	2x250
EB853	Misool	MIS_13	Facet North	FACN	MI_FACN	water	0.4um	cox1	2x250
EB854	Misool	MIS_13	Facet North	FACN	MI_FACN	sediment	0.4um	cox1	2x250
EB855	Misool	MIS_14	Turtle Island	TUIS	MI_TUIS	water	0.4um	cox1	2x250
EB856	Misool	MIS_14	Turtle Island	TUIS	MI_TUIS	sediment	0.4um	cox1	2x250
EB857	Misool	MIS_15	Yenkafal West	YEKW	MI_YEKW	water	0.4um	cox1	2x250
EB858	Misool	MIS_15	Yenkafal West	YEKW	MI_YEKW	sediment	0.4um	cox1	2x250
EB859	Misool	MIS_16	Wagwaf West	WAGW	MI_WAGW	water	0.4um	cox1	2x250
EB860	Misool	MIS_16	Wagwaf West	WAGW	MI_WAGW	sediment	0.4um	cox1	2x250
EB861	Misool	MIS_17	Balbulol North	BALN	MI_BALN	water	0.4um	cox1	2x250
EB862	Misool	MIS_17	Balbulol North	BALN	MI_BALN	sediment	0.4um	cox1	2x250
EB863	Misool	MIS_18	Two Tree Island	TWTI	MI_TWTI	water	0.4um	cox1	2x250
EB864	Misool	MIS_18	Two Tree Island	TWTI	MI_TWTI	sediment	0.4um	cox1	2x250
EB865	Misool	MIS_19	Ef Pian	EFPI	MI_EFPI	water	0.4um	cox1	2x250
EB866	Misool	MIS_19	Ef Pian	EFPI	MI_EFPI	sediment	0.4um	cox1	2x250
EB867	Misool	MIS_20	Daram Point	DARP	MI_DARP	water	0.4um	cox1	2x250
EB868	Misool	MIS_20	Daram Point	DARP	MI_DARP	sediment	0.4um	cox1	2x250
EB869	Misool	MIS_21	Daram South	DARS	MI_DARS	water	0.4um	cox1	2x250
EB870	Misool	MIS_21	Daram South	DARS	MI_DARS	sediment	0.4um	cox1	2x250
EB871	Misool	MIS_22	Colorful	CLRF	MI_CLRF	water	0.4um	cox1	2x250
EB872	Misool	MIS_22	Colorful	CLRF	MI_CLRF	sediment	0.4um	cox1	2x250
